Time,R,P
2018/1/1 9:00,36.5333,0.177
2018/1/1 9:15,73.6667,0.527
2018/1/1 9:30,121.267,0.939333
2018/1/1 9:45,157.333,2.066
2018/1/1 10:00,263,4.294
2018/1/1 10:15,323.333,5.33733
2018/1/1 10:30,381.4,5.96433
2018/1/1 10:45,424.533,6.49967
2018/1/1 11:00,467,6.432
2018/1/1 11:15,502.933,7.29
2018/1/1 11:30,537.4,7.27033
2018/1/1 11:45,566.6,7.538
2018/1/1 12:00,592,7.549
2018/1/1 12:15,614.267,8.26733
2018/1/1 12:30,638.6,8.79133
2018/1/1 12:45,657.267,8.914
2018/1/1 13:00,662.933,8.86867
2018/1/1 13:15,662.533,8.31467
2018/1/1 13:30,659.867,8.47233
2018/1/1 13:45,602.8,8.237
2018/1/1 14:00,641.867,8.93633
2018/1/1 14:15,680.867,8.903
2018/1/1 14:30,661.533,8.75333
2018/1/1 14:45,613.067,8.56767
2018/1/1 15:00,589,8.37033
2018/1/1 15:15,546.333,7.89433
2018/1/1 15:30,519.533,7.79133
2018/1/1 15:45,481.533,7.408
2018/1/1 16:00,440.933,7.026
2018/1/1 16:15,396.2,6.592
2018/1/1 16:30,349.2,6.06033
2018/1/1 16:45,297.933,5.41167
2018/1/1 17:00,246.867,4.41833
2018/1/1 17:15,112.6,2.53867
2018/1/1 17:30,65.1333,1.00667
2018/1/1 17:45,55.5333,0.472667
2018/1/1 18:00,3.86667,0.012667
2018/1/2 9:00,11,0.014
2018/1/2 9:15,31.1333,0.189667
2018/1/2 9:30,57.3333,0.502
2018/1/2 9:45,114.067,1.07333
2018/1/2 10:00,156.4,1.696
2018/1/2 10:15,241.867,3.16433
2018/1/2 10:30,318.067,3.728
2018/1/2 10:45,265.133,2.906
2018/1/2 11:00,263.133,3.00267
2018/1/2 11:15,336.867,4.335
2018/1/2 11:30,457.467,5.84467
2018/1/2 11:45,400.533,4.94833
2018/1/2 12:00,369.333,4.528
2018/1/2 12:15,447.133,5.71467
2018/1/2 12:30,479.067,6.27733
2018/1/2 12:45,540.067,6.42833
2018/1/2 13:00,493.467,5.85667
2018/1/2 13:15,532.2,5.855
2018/1/2 13:30,511.2,6.585
2018/1/2 13:45,602.267,7.24167
2018/1/2 14:00,499.4,6.22767
2018/1/2 14:15,282.267,2.76033
2018/1/2 14:30,265.333,2.61167
2018/1/2 14:45,295.8,3.09
2018/1/2 15:00,378.133,4.32633
2018/1/2 15:15,355.467,4.115
